Time [sec],N
0,10.26
0.1,10.54
0.201,10.78
0.302,10.3
0.403,10.37
0.505,10.4
0.605,10.47
0.706,11.05
0.808,8.99
0.908,9.24
1.01,10.06
1.11,11.56
1.211,11.12
1.313,13.76
1.413,12.1
1.515,10.04
1.615,9.82
1.716,9.7
1.818,13.17
1.918,10.76
2.02,14.51
2.12,7.83
2.221,10.93
2.323,10.22
2.423,12.09
2.525,14.26
2.625,7.97
2.726,9.94
2.828,9.25
2.928,8.08
3.03,12.29
3.13,14.64
3.231,9.42
3.333,8.41
3.433,9.31
3.534,10.06
3.635,13.18
3.736,15.53
3.838,6.71
3.938,8.92
4.04,8.42
4.14,9.84
4.241,11.82
4.343,12.09
4.443,7.91
4.544,9.4
4.645,9.18
4.746,9.19
4.848,12.63
4.948,12.2
5.05,7.56
5.15,11.28
5.251,8.23
5.353,8.26
5.453,16.22
5.555,10.53
5.655,14.43
5.756,7.67
5.858,8.8
5.958,10.6
6.059,11.47
6.16,6.7
6.261,10.15
6.363,10.36
6.463,8.27
6.564,13.07
6.665,15.24
6.766,10.04
6.867,6.21
6.968,9.07
7.069,9.82
7.17,13.68
7.271,18.1
7.373,15.46
7.473,6.92
7.574,6.57
7.675,10.37
7.776,12.07
7.878,11.87
7.978,14.27
8.079,7.8
8.18,8.02
8.281,11.46
8.382,12.67
8.483,10.12
8.584,7.09
8.685,9.14
8.786,9.3
8.888,13.6
8.988,14.02
9.089,16.68
9.19,6.29
9.291,8.57
9.393,11.49
9.493,13.85
9.594,6.69
9.695,9.47
9.796,9.58
9.897,7.27
9.998,12.23
10.099,17.03
10.2,14.62
10.301,7.61
10.402,9.5
10.503,10.04
10.604,14.27
10.705,16.5
10.806,13.81
10.907,7.71
11.008,9.15
11.109,9.76
11.21,13.62
11.311,9.09
11.412,11.36
11.513,8.09
11.614,8.45
11.715,12.27
11.816,14.26
11.917,8.63
12.018,8.07
12.119,10.22
12.22,8.33
12.321,11.25
12.422,17.29
12.523,8.26
12.624,6.93
12.725,10.23
12.826,9.66
12.927,12.53
13.028,17.73
13.129,14.41
13.23,7.02
13.331,9.32
13.432,8.89
13.533,12.67
13.634,15.11
13.735,17.62
13.836,7.39
13.937,9.45
14.038,10.5
14.139,13.04
14.24,17.5
14.341,13.57
14.442,7.54
14.543,8.53
14.644,8.58
14.745,14.67
14.846,17.65
14.947,8.11
15.048,7.48
15.149,9.82
15.25,8.44
15.351,12.99
15.452,14.45
15.553,6.92
15.654,10.2
15.755,8.9
15.856,9.08
15.957,10.62
16.058,12.33
16.159,15.9
16.26,12.45
16.361,8.97
16.462,10.87
16.563,11.04
16.664,11.54
16.765,9.73
16.866,10.81
16.967,12.74
17.068,12.68
17.169,10.42
17.27,10.72
17.371,10.46
17.472,11.72
17.573,10.31
17.674,9.71
17.775,11.43
17.876,9.48
17.977,12.04
18.078,10.1
18.179,10.2
18.28,10.91
18.381,9.74
18.482,10.89
18.583,9.7
18.684,15.86
18.785,13.77
18.886,9.91
18.987,10.1
19.088,9.08
19.189,12.01
19.29,14.57
19.391,10.02
19.492,11.48
19.593,9.06
19.694,8.37
19.795,10.56
19.896,14.03
19.997,7.25
20.098,10.61
20.199,7.99
20.3,9.18
20.401,12
20.502,14.08
20.603,9.86
20.704,10.71
20.805,8.27
20.906,8.46
21.007,11.41
21.108,12.72
21.209,7.01
21.31,9.62
21.411,8.8
21.512,10.16
21.613,13.18
21.714,16.56
21.815,13.75
21.916,7.88
22.017,8.34
22.118,9.99
22.219,13.58
22.32,8.91
22.421,12.87
22.522,7.87
22.623,9.55
22.724,12.07
22.825,11.2
22.926,8.56
23.027,7.87
23.128,8.31
23.229,8.45
23.33,13.9
23.431,14.96
23.532,13.17
23.633,6.12
23.734,8.36
23.835,10.68
23.936,12.39
24.037,10.64
24.138,12.76
24.239,7.71
24.34,8.34
24.441,11.53
24.542,15.57
24.643,7.66
24.744,9.12
24.845,8.16
24.946,10.1
25.047,14.01
25.148,20.61
25.249,13.03
25.35,7.53
25.451,8.07
25.552,10.18
25.653,12.88
25.754,9.24
25.855,10.2
25.956,9.01
26.057,9.32
26.158,13.25
26.259,17.22
26.36,9.68
26.461,7.17
26.562,7.94
26.663,10.25
26.764,13.29
26.865,11.59
26.966,14.82
27.067,7.73
27.168,9.11
27.269,10.09
27.37,11.13
27.471,8.69
27.572,12.59
27.673,9.03
27.774,8.09
27.875,10.73
27.976,15.78
28.077,6.79
28.178,7.87
28.279,8.72
28.38,9.93
28.481,13.86
28.582,16.02
28.683,9.49
28.784,8.59
28.885,8.32
28.986,8.58
29.087,12.39
29.188,15.47
29.289,14.34
29.39,7.92
29.491,8.88
29.592,9.87
29.693,13.16
29.794,11.79
29.895,13.1
29.996,8.18
30.097,8.91
30.198,10.38
30.299,11.71
30.4,8.45
30.501,9.2
30.602,9.72
30.703,9.02
30.804,12.41
30.905,12.89
31.006,8.07
31.107,10.17
31.208,9.34
31.309,7.6
31.41,11.03
31.511,15.72
31.612,8.61
31.713,8.13
31.814,8.58
31.915,9.65
32.017,13.03
32.117,16.22
32.218,9.52
32.319,7.61
32.42,8.98
32.521,9.21
32.622,12.15
32.723,15.17
32.824,10.75
32.925,7.8
33.026,9.77
33.127,9.18
33.228,12.31
33.329,18.05
33.43,12.11
33.531,7.66
33.632,9.21
33.733,9.32
33.834,12.15
33.935,12.12
34.036,6.26
34.137,9.29
34.238,9.78
34.339,10.36
34.44,9.11
34.541,12.05
